1-Specifity,DeepHit:0.904(95%CI:0.741-1.000),NMTLR:1.000(95%CI:1.000-1.000),RSF:1.000(95%CI:1.000-1.000),FSSVM:0.962(95%CI:0.846-1.000),CoxPH:0.818(95%CI:0.500-1.000),GBSA:1.000(95%CI:1.000-1.000),Super Learner:1.000(95%CI:1.000-1.000)
0.0,0.0,,,,,,
0.0,0.0384615384615384,,,,,,
0.0,0.8461538461538461,,,,,,
0.5,0.8461538461538461,,,,,,
0.5,0.9615384615384616,,,,,,
1.0,0.9615384615384616,,,,,,
1.0,1.0,,,,,,
0.0,,0.0,,,,,
0.0,,0.0384615384615384,,,,,
0.0,,1.0,,,,,
1.0,,1.0,,,,,
0.0,,,0.0,,,,
0.0,,,0.0384615384615384,,,,
0.0,,,1.0,,,,
1.0,,,1.0,,,,
0.0,,,,0.0,,,
0.0,,,,0.0384615384615384,,,
0.0,,,,0.9230769230769232,,,
0.5,,,,0.9230769230769232,,,
0.5,,,,1.0,,,
1.0,,,,1.0,,,
0.0,,,,,0.0,,
0.0,,,,,0.0909090909090909,,
0.0,,,,,0.7272727272727273,,
0.5,,,,,0.7272727272727273,,
0.5,,,,,0.9090909090909092,,
1.0,,,,,0.9090909090909092,,
1.0,,,,,1.0,,
0.0,,,,,,0.0,
0.0,,,,,,0.0384615384615384,
0.0,,,,,,1.0,
1.0,,,,,,1.0,
0.0,,,,,,,0.0
0.0,,,,,,,0.1538461538461538
0.0,,,,,,,1.0
1.0,,,,,,,1.0
